product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
87285b34884572647811a353c7ac498a,utilidades_domesticas,40.0,268.0,4.0,500.0,19.0,8.0,13.0
ac1789e492dcd698c5c10b97a671243a,moveis_decoracao,41.0,432.0,2.0,300.0,35.0,35.0,15.0
f410090aec61f7c73748ca894286edcd,papelaria,60.0,1847.0,3.0,450.0,35.0,50.0,12.0
e251ebd2858be1aa7d9b2087a6992580,ferramentas_jardim,34.0,511.0,4.0,8875.0,40.0,14.0,43.0
2b4609f8948be18874494203496bc318,beleza_saude,59.0,492.0,3.0,250.0,22.0,10.0,18.0
c7df652246ed7b3300aaf46960c141e4,beleza_saude,28.0,1455.0,1.0,683.0,29.0,15.0,22.0
2d8f2be4f08788ee3bf5356af2b2ee6c,climatizacao,52.0,331.0,4.0,100.0,27.0,13.0,17.0
6893767814d1ac82a81bcd365e1cc918,eletronicos,26.0,511.0,1.0,200.0,25.0,7.0,16.0
d70f38e7f79c630f8ea00c993897042c,bebes,53.0,233.0,1.0,10950.0,41.0,40.0,40.0
4520766ec412348b8d4caa5e8a18c464,automotivo,59.0,956.0,1.0,50.0,16.0,16.0,17.0
5ac9d9e379c606e36a8094a6046f75dc,beleza_saude,46.0,2345.0,6.0,525.0,21.0,16.0,13.0
72d3bf1d3a790f8874096fcf860e3eff,brinquedos,57.0,341.0,2.0,583.0,20.0,21.0,20.0
08574b074924071f4e201e151b152b4e,ferramentas_jardim,36.0,450.0,1.0,9000.0,42.0,12.0,39.0
9b37a918bcf2c8e1064e867cf1df4637,eletronicos,57.0,1710.0,6.0,1207.0,20.0,10.0,20.0
65266b2da20d04dbe00c5c2d3bb7859e,papelaria,38.0,316.0,4.0,250.0,51.0,15.0,15.0
00baba5b58e274d0332a0c8a0a66f877,perfumaria,27.0,406.0,4.0,200.0,18.0,7.0,12.0
aa4383b373c6aca5d8797843e5594415,automotivo,46.0,232.0,1.0,420.0,24.0,19.0,21.0
c0db539123a403f670c50237d970b215,ferramentas_jardim,56.0,1313.0,2.0,850.0,20.0,20.0,20.0
aca2eb7d00ea1a7b8ebd4e68314663af,moveis_decoracao,44.0,903.0,6.0,2600.0,50.0,10.0,30.0
c6c1f263e076bd9c1f1640250a5d0c29,perfumaria,32.0,102.0,1.0,425.0,24.0,12.0,16.0
6b64362e89896be7589621df54be089e,moveis_decoracao,57.0,2435.0,2.0,3000.0,69.0,11.0,11.0
f7e0fa615b386bc9a8b9eb52bc1fff76,informatica_acessorios,59.0,2574.0,1.0,325.0,21.0,21.0,21.0
9451e630d725c4bb7a5a206b48b99486,bebes,52.0,300.0,1.0,350.0,31.0,10.0,12.0
ba4bfbf74dbe7ab37e263b9326da0523,esporte_lazer,60.0,521.0,1.0,650.0,24.0,10.0,20.0
ba74c6b75d2ad7503175809688d5a03c,relogios_presentes,59.0,1088.0,2.0,292.0,17.0,8.0,12.0
009c09f439988bc06a93d6b8186dce73,perfumaria,39.0,991.0,3.0,150.0,20.0,20.0,20.0
7b717060aa783eb7f23a747a3a733dd7,cool_stuff,46.0,595.0,2.0,500.0,16.0,12.0,22.0
060cb19345d90064d1015407193c233d,automotivo,49.0,608.0,1.0,7150.0,65.0,10.0,65.0
72a97c271b2e429974398f46b93ae530,perfumaria,59.0,685.0,1.0,450.0,16.0,17.0,16.0
a47295965bd091207681b541b26e40a5,telefonia,60.0,818.0,6.0,300.0,17.0,4.0,12.0
bb7181410b4e02f93f3697f765db53c7,bebes,36.0,1058.0,1.0,14950.0,77.0,20.0,53.0
595fac2a385ac33a80bd5114aec74eb8,perfumaria,29.0,178.0,1.0,400.0,19.0,13.0,19.0
bff2010b28e8fbcff5a9db9d3fea5ac4,ferramentas_jardim,58.0,769.0,6.0,850.0,90.0,20.0,20.0
c35498fbb4358837ae16850f50c3fd22,telefonia,59.0,973.0,1.0,325.0,19.0,8.0,22.0
a1804276d9941ac0733cfd409f5206eb,,,,,600.0,35.0,35.0,15.0
cafd558df4c3c9d1c338ba6930ea9a62,bebes,45.0,1009.0,1.0,16450.0,44.0,70.0,32.0
638bbb2a5e4f360b71f332ddfebfd672,construcao_ferramentas_construcao,38.0,143.0,2.0,20850.0,100.0,25.0,50.0
0cd9f302c8a5b076ffa5c3567c6705fd,informatica_acessorios,22.0,716.0,2.0,200.0,36.0,2.0,28.0
c50ca07e9e4db9ea5011f06802c0aea0,beleza_saude,59.0,1782.0,1.0,125.0,25.0,14.0,18.0
e99d69efe684efaa643f99805f7c81bc,papelaria,56.0,115.0,1.0,600.0,33.0,13.0,25.0
be021417a6acb56b9b50d3fd2714baa8,utilidades_domesticas,48.0,664.0,6.0,14300.0,38.0,34.0,34.0
cce679660c66e6fbd5c8091dfd29e9cd,cama_mesa_banho,43.0,125.0,1.0,250.0,40.0,4.0,30.0
9a469eaf45dfbc43d39ba1977a3c07af,cama_mesa_banho,44.0,192.0,1.0,700.0,40.0,4.0,30.0
9a78fb9862b10749a117f7fc3c31f051,moveis_escritorio,45.0,527.0,1.0,9750.0,42.0,41.0,42.0
1deda1acffb44ed38494667d7e49a9f3,esporte_lazer,53.0,891.0,2.0,1150.0,27.0,12.0,17.0
10adb53d8faa890ca7c2f0cbcb68d777,cama_mesa_banho,52.0,155.0,1.0,200.0,16.0,10.0,16.0
d0b61bfb1de832b15ba9d266ca96e5b0,pet_shop,59.0,468.0,3.0,450.0,30.0,10.0,20.0
8c591ab0ca519558779df02023177f44,ferramentas_jardim,47.0,1893.0,1.0,6050.0,20.0,20.0,20.0
cd935d283d47f1050c505e1c39c48b67,esporte_lazer,32.0,658.0,5.0,281.0,30.0,14.0,25.0
39a9942865c056ed2006a5e8c11d9537,brinquedos,47.0,556.0,5.0,800.0,37.0,14.0,37.0
f35927953ed82e19d06ad3aac2f06353,livros_interesse_geral,39.0,724.0,1.0,450.0,20.0,20.0,20.0
